Operational_Hours,Temperature_C,Vibration_mms,Oil_Level_pct,Remaining_Useful_Life_days,Failure_Within_7_Days
81769,73.43,12.78,36.76,162.0,0
74966,58.32,14.99,100.0,147.0,0
94006,49.63,23.78,42.96,0.0,1
76637,63.73,12.38,94.9,161.0,0
20870,42.77,4.42,47.56,765.0,0
69956,53.58,14.31,39.97,163.0,0
2578,62.44,8.42,80.57,908.0,0
39895,27.28,16.09,87.98,467.0,0
19992,69.31,9.69,62.04,794.0,0
13151,69.18,13.1,38.36,925.0,0
72283,32.98,12.23,74.77,149.0,0
89347,61.94,13.94,66.79,22.0,0
82712,44.55,3.88,78.13,232.0,0
22062,78.99,-1.39,81.43,800.0,0
79413,31.97,9.52,61.93,145.0,0
69447,69.86,8.2,36.23,269.0,0
36816,72.37,16.06,56.57,611.0,0
29288,61.1,9.74,82.27,747.0,0
54071,53.1,3.76,79.12,433.0,0
77603,67.85,16.67,100.0,163.0,0
38737,54.11,9.27,74.28,575.0,0
62626,105.02,20.48,66.46,203.0,0
28973,63.04,12.97,57.1,767.0,0
10184,37.5,8.83,88.33,916.0,0
66489,47.38,2.93,93.23,345.0,0
41467,41.08,10.97,18.64,665.0,0
34027,37.77,12.4,70.59,674.0,0
2703,79.18,7.64,61.97,942.0,0
4706,42.42,11.14,51.89,825.0,0
86343,99.75,7.25,54.16,41.0,0
12966,52.6,11.59,76.4,840.0,0
74861,56.24,13.86,53.24,195.0,0
17654,41.96,7.13,75.94,769.0,0
93925,44.8,13.28,97.5,98.0,0
93503,75.7,8.27,85.55,67.0,0
30429,70.25,5.92,69.25,670.0,0
60589,94.61,8.55,49.49,243.0,0
60656,66.89,17.62,47.3,253.0,0
81235,60.81,6.97,45.69,221.0,0
24559,73.13,14.18,45.09,625.0,0
86755,76.27,-3.09,81.5,95.0,0
11205,73.39,5.1,51.64,794.0,0
61337,58.5,10.68,89.04,292.0,0
2027,68.01,13.44,62.64,935.0,0
92304,77.39,13.74,71.53,0.0,1
37476,61.46,21.07,73.51,481.0,0
71182,45.51,8.27,61.88,248.0,0
94669,51.64,3.63,62.8,0.0,1
66439,50.39,8.87,58.74,281.0,0
62501,71.48,3.42,63.57,356.0,0
28955,64.7,16.66,55.53,585.0,0
54427,58.53,21.14,57.71,341.0,0
80396,64.79,15.83,68.79,174.0,0
80352,63.9,1.19,35.63,148.0,0
10463,79.02,1.18,63.24,803.0,0
8563,91.65,6.56,74.31,866.0,0
45628,57.16,10.85,60.57,456.0,0
17153,48.6,22.83,100.0,798.0,0
11380,74.34,7.9,98.46,804.0,0
92109,66.85,12.14,77.64,0.0,1
78594,40.53,2.4,92.55,274.0,0
64137,35.73,4.39,72.27,361.0,0
73605,56.26,6.17,82.15,170.0,0
92275,66.86,15.7,43.54,13.0,0
75590,65.0,5.36,54.13,164.0,0
47226,61.98,10.84,73.65,465.0,0
50095,82.84,11.1,66.26,465.0,0
5100,60.06,11.41,93.7,926.0,0
91166,75.84,11.71,68.66,0.0,1
54119,81.82,4.07,26.3,464.0,0
3187,57.5,4.14,50.61,985.0,0
45680,67.14,12.41,100.0,470.0,0
11074,57.61,14.29,56.03,933.0,0
49941,51.98,8.77,77.51,507.0,0
84310,81.52,13.81,66.8,150.0,0
2218,81.68,14.96,43.88,845.0,0
56236,56.66,10.8,55.47,403.0,0
13014,32.23,1.82,73.23,817.0,0
69229,35.8,7.52,59.76,340.0,0
69972,51.87,4.3,90.96,191.0,0
24678,50.29,9.46,40.0,606.0,0
28530,62.61,9.72,96.12,678.0,0
26596,43.2,18.14,100.0,679.0,0
89944,84.19,19.66,100.0,71.0,0
19008,65.08,8.65,9.15,838.0,0
74511,68.42,19.18,52.94,155.0,0
17439,67.48,7.7,77.59,763.0,0
21987,72.36,5.85,88.58,708.0,0
65017,55.58,-0.72,74.49,309.0,0
63294,53.44,19.9,77.23,303.0,0
88397,45.98,11.53,100.0,0.0,1
29637,56.92,4.26,89.46,596.0,0
66284,73.77,11.58,53.61,291.0,0
69560,55.02,18.04,87.16,336.0,0
54862,82.81,14.82,92.55,304.0,0
94994,57.03,10.56,93.99,94.0,0
34791,48.85,10.93,62.02,631.0,0
13065,52.7,11.52,85.28,776.0,0
99764,59.14,12.3,61.53,0.0,1
57892,49.58,5.36,81.83,394.0,0
13080,62.84,5.85,81.8,799.0,0
40815,63.01,11.25,47.23,553.0,0
4218,59.93,5.98,59.93,921.0,0
72043,73.22,15.79,84.82,160.0,0
25652,84.36,11.5,61.47,717.0,0
31015,70.74,5.08,41.03,645.0,0
41697,40.44,14.45,52.79,604.0,0
12335,74.66,8.73,65.67,808.0,0
58981,54.22,16.49,80.72,328.0,0
46822,52.21,9.64,77.91,416.0,0
2275,65.69,10.13,67.14,883.0,0
8056,49.25,14.02,46.87,859.0,0
7194,67.87,10.55,55.79,799.0,0
62990,61.05,7.53,77.67,330.0,0
64660,63.8,5.96,70.74,312.0,0
99843,64.21,7.42,99.36,0.0,1
87452,71.33,5.8,34.38,68.0,0
36471,63.28,2.47,100.0,585.0,0
54619,74.26,4.54,54.32,367.0,0
7146,87.38,4.59,64.94,958.0,0
35655,87.56,6.26,30.35,603.0,0
51505,64.11,12.39,76.67,490.0,0
14742,45.99,4.81,89.91,888.0,0
66813,78.15,10.14,52.84,226.0,0
22535,79.82,11.52,80.81,759.0,0
32202,45.51,5.33,75.72,662.0,0
39612,53.15,2.42,70.65,606.0,0
97936,53.13,11.88,76.66,28.0,0
12626,75.26,11.91,61.49,886.0,0
30921,73.0,6.09,93.3,584.0,0
8374,58.75,10.1,93.57,850.0,0
22173,61.19,19.72,60.24,642.0,0
31198,74.72,10.27,68.45,594.0,0
24870,45.24,4.0,37.31,741.0,0
86600,59.36,20.3,95.53,95.0,0
52628,115.14,17.25,65.43,364.0,0
96054,68.79,10.28,41.53,0.0,1
72305,56.31,6.95,92.41,252.0,0
59242,46.15,19.44,83.34,338.0,0
30718,80.52,3.38,56.79,715.0,0
91028,53.54,7.45,92.93,60.0,0
18377,76.1,10.2,19.09,820.0,0
40324,55.48,13.84,67.3,569.0,0
90900,88.69,12.59,66.05,32.0,0
52455,76.15,7.14,47.98,366.0,0
19281,55.36,6.31,49.08,766.0,0
2026,34.79,12.61,59.62,915.0,0
99031,76.93,7.43,45.41,0.0,1
34600,36.12,3.37,52.52,579.0,0
60356,66.15,8.97,69.53,398.0,0
94923,69.68,0.29,76.35,72.0,0
30273,55.48,6.35,46.21,657.0,0
21345,77.02,10.12,67.35,740.0,0
50733,69.91,13.9,79.68,398.0,0
54045,31.74,17.74,66.29,457.0,0
69204,56.27,13.83,69.93,203.0,0
17963,58.32,13.39,78.45,800.0,0
25262,59.16,8.04,55.53,716.0,0
70153,48.0,10.64,43.52,337.0,0
3606,46.03,15.5,70.58,972.0,0
76535,64.78,11.95,90.19,160.0,0
57686,76.54,4.21,87.59,409.0,0
21288,54.88,9.09,87.36,820.0,0
75075,58.07,11.67,93.59,232.0,0
21131,36.14,5.4,51.03,806.0,0
12070,58.63,-2.12,79.06,772.0,0
13176,72.89,15.21,60.0,853.0,0
65638,72.89,7.89,72.74,313.0,0
45541,66.17,1.84,54.72,537.0,0
64323,60.38,4.89,90.61,406.0,0
96216,78.29,11.64,59.74,48.0,0
48582,45.27,13.91,84.67,568.0,0
39780,62.01,6.56,74.28,561.0,0
89139,69.02,15.91,61.43,30.0,0
59675,49.85,7.78,84.61,355.0,0
47576,66.31,14.23,61.87,598.0,0
22333,83.55,11.24,65.37,677.0,0
7461,70.78,21.22,76.88,822.0,0
98100,96.68,15.51,75.0,0.0,1
98204,44.02,17.04,73.14,0.0,1
76698,39.44,5.53,100.0,142.0,0
52067,82.87,16.87,54.19,375.0,0
96282,49.29,13.56,46.85,0.0,1
12985,59.93,7.24,71.31,745.0,0
92132,83.6,1.65,75.39,51.0,0
59845,71.16,8.35,55.66,412.0,0
37310,52.2,13.0,76.84,523.0,0
35980,32.66,8.64,68.11,586.0,0
29027,47.86,19.99,79.43,603.0,0
62085,71.86,16.73,93.1,296.0,0
31326,47.02,8.52,52.64,690.0,0
82320,72.02,8.35,56.85,149.0,0
83811,75.95,5.28,35.85,99.0,0
91482,73.31,14.12,98.7,12.0,0
36350,87.82,10.38,52.65,612.0,0
17940,32.49,14.42,73.69,782.0,0
2323,40.97,16.46,55.99,870.0,0
15229,72.49,7.98,64.25,793.0,0
54855,74.32,15.92,66.12,405.0,0
49784,68.18,9.86,93.77,433.0,0
34478,68.28,8.24,55.77,733.0,0
29430,52.26,8.54,100.0,739.0,0
9890,19.37,6.37,50.97,925.0,0
11759,65.97,11.98,100.0,820.0,0
58308,73.25,9.81,78.71,332.0,0
48907,64.91,7.34,61.64,444.0,0
13947,60.6,3.28,42.94,832.0,0
30125,59.19,1.1,35.57,743.0,0
43293,45.18,9.9,68.89,549.0,0
51903,74.01,15.16,78.34,343.0,0
30269,40.1,5.45,76.64,688.0,0
6451,54.82,9.14,73.98,963.0,0
98049,41.38,15.8,72.4,0.0,1
43898,64.12,7.44,74.87,497.0,0
40366,34.95,11.68,12.7,606.0,0
26431,57.97,5.14,62.2,743.0,0
25714,44.27,4.58,79.94,634.0,0
57335,91.69,10.96,68.42,329.0,0
12647,66.88,8.36,92.52,817.0,0
7191,49.53,11.99,56.54,945.0,0
75115,54.04,1.38,55.5,117.0,0
64834,54.15,7.97,94.56,300.0,0
48980,30.1,13.09,57.28,506.0,0
81541,69.11,7.35,32.36,213.0,0
14092,82.23,13.07,98.65,752.0,0
97034,77.53,5.51,87.94,0.0,1
57943,57.64,14.72,47.0,350.0,0
94507,49.17,17.95,90.99,63.0,0
5847,59.82,8.94,48.66,891.0,0
60132,59.83,13.33,96.04,374.0,0
58634,58.48,10.55,77.33,343.0,0
20982,58.67,14.77,99.79,754.0,0
70437,72.9,9.33,69.79,215.0,0
13976,75.98,4.74,80.21,761.0,0
53876,70.25,10.54,55.29,393.0,0
71919,59.44,5.65,84.1,212.0,0
14939,64.24,14.46,56.05,816.0,0
4918,56.23,17.2,42.19,874.0,0
57796,82.09,8.68,66.65,357.0,0
76768,66.68,4.59,69.6,189.0,0
5002,55.18,13.93,72.07,852.0,0
75755,35.06,10.97,79.08,318.0,0
60967,65.95,9.34,75.27,422.0,0
95628,62.31,12.85,55.38,8.0,0
58373,31.05,11.97,85.1,483.0,0
33682,57.59,13.28,69.33,570.0,0
66453,60.6,12.46,84.3,263.0,0
26961,41.85,-0.34,30.58,693.0,0
42089,42.16,14.09,100.0,555.0,0
92928,70.9,7.81,63.72,33.0,0
10363,42.37,8.35,64.1,822.0,0
78478,52.0,5.08,56.1,192.0,0
92960,53.71,5.54,100.0,8.0,0
3788,68.1,5.9,71.85,959.0,0
84564,57.53,9.95,73.59,52.0,0
37110,66.48,13.74,72.93,580.0,0
77338,49.75,9.16,84.66,128.0,0
26594,98.43,12.82,87.03,636.0,0
54526,45.6,9.95,74.59,425.0,0
19506,71.73,5.28,73.82,767.0,0
80880,51.71,11.28,78.94,116.0,0
6614,74.75,14.4,56.83,820.0,0
69854,71.82,13.07,93.01,208.0,0
60875,66.56,0.26,86.64,384.0,0
99563,44.94,14.09,50.22,0.0,1
22004,44.37,7.29,67.96,731.0,0
10428,57.53,9.34,79.53,819.0,0
89403,58.6,5.34,97.49,11.0,0
37665,98.96,10.41,62.36,562.0,0
12116,77.11,14.48,54.56,881.0,0
23941,52.36,11.62,71.23,722.0,0
48700,51.61,8.97,48.27,494.0,0
15621,73.31,19.12,60.97,721.0,0
4704,47.84,15.24,58.98,953.0,0
42765,37.27,16.06,64.02,608.0,0
11451,70.77,11.13,77.06,902.0,0
78062,67.94,15.39,88.08,138.0,0
98228,74.34,19.92,20.12,0.0,1
60015,62.1,13.21,69.84,289.0,0
94506,55.82,12.58,83.19,0.0,1
4940,49.95,4.54,52.59,885.0,0
75860,78.23,10.83,45.33,158.0,0
20789,56.64,4.51,64.14,782.0,0
52061,59.9,-3.1,28.11,463.0,0
7709,52.67,19.96,73.14,854.0,0
79054,61.96,19.07,57.66,137.0,0
49878,53.5,5.37,62.1,482.0,0
4124,71.18,1.53,71.92,926.0,0
16595,62.89,7.68,62.73,871.0,0
22032,50.28,6.68,67.57,713.0,0
51828,59.11,3.95,89.84,497.0,0
67485,48.59,20.87,13.39,314.0,0
58268,61.11,17.82,100.0,279.0,0
56301,71.9,18.11,66.88,332.0,0
35657,35.77,5.3,93.49,685.0,0
83654,73.84,13.97,77.49,60.0,0
41527,81.82,12.56,100.0,544.0,0
26969,33.04,6.08,42.39,648.0,0
66015,56.32,3.92,55.97,318.0,0
80178,66.84,13.14,56.69,115.0,0
63015,72.42,7.48,35.44,337.0,0
81656,70.79,7.38,86.74,150.0,0
37967,52.58,4.17,74.67,684.0,0
52181,45.45,11.54,74.43,355.0,0
20029,73.54,10.7,95.43,823.0,0
82253,41.84,9.37,32.65,138.0,0
81509,35.27,7.78,89.93,149.0,0
83761,52.41,9.63,65.26,66.0,0
23906,73.16,12.79,80.05,748.0,0
26230,53.02,18.76,100.0,632.0,0
47564,24.81,6.51,55.36,534.0,0
71730,76.58,15.9,93.81,271.0,0
23189,66.0,3.26,54.85,684.0,0
76351,74.17,10.37,75.94,230.0,0
98553,59.9,8.31,64.93,43.0,0
50029,26.13,11.14,98.27,450.0,0
69139,66.0,5.57,56.72,244.0,0
42462,55.83,11.44,66.58,499.0,0
53822,58.95,13.89,64.61,458.0,0
26782,47.03,2.97,81.4,670.0,0
56787,88.82,11.48,74.95,368.0,0
24871,28.1,11.7,59.42,750.0,0
74823,68.34,12.11,89.18,261.0,0
95530,43.94,1.54,85.51,0.0,1
46276,64.11,8.1,100.0,481.0,0
98149,66.25,11.96,50.52,0.0,1
6100,39.1,8.83,46.07,905.0,0
4879,94.34,1.65,62.69,871.0,0
94730,37.08,6.51,51.15,84.0,0
67889,79.74,8.43,67.49,258.0,0
41841,59.0,10.39,100.0,553.0,0
48702,53.41,23.28,89.59,513.0,0
42254,60.02,12.4,49.41,548.0,0
81722,48.28,13.55,99.48,65.0,0
85882,79.1,16.63,76.36,47.0,0
4704,80.19,7.97,17.46,862.0,0
97784,60.33,15.13,57.57,0.0,1
3217,53.02,9.64,100.0,937.0,0
56006,77.79,11.13,90.06,307.0,0
61281,57.86,8.94,88.95,354.0,0
34527,61.48,10.83,76.57,719.0,0
44607,55.75,7.91,100.0,513.0,0
11815,44.28,11.99,81.51,926.0,0
5349,63.42,11.2,69.04,851.0,0
48289,75.79,5.25,72.05,458.0,0
24521,75.47,7.77,59.78,715.0,0
36584,64.84,0.28,92.98,730.0,0
60938,39.71,1.49,66.58,368.0,0
96092,48.69,15.46,61.13,0.0,1
47944,60.89,6.16,100.0,392.0,0
48558,56.14,10.41,61.5,527.0,0
41521,55.54,13.95,55.87,613.0,0
7803,78.2,3.3,89.66,801.0,0
18078,25.69,5.39,95.94,772.0,0
34304,49.9,17.77,92.22,601.0,0
12063,47.43,7.3,59.28,836.0,0
36317,59.63,6.3,45.72,629.0,0
56278,51.99,7.52,79.34,390.0,0
37574,99.68,7.54,73.43,533.0,0
846,76.07,8.59,41.12,976.0,0
55887,45.34,3.22,89.04,367.0,0
22052,62.8,12.26,70.74,710.0,0
52765,70.21,8.44,90.3,426.0,0
16421,79.8,12.99,45.19,716.0,0
92819,56.91,3.84,100.0,42.0,0
11187,57.56,12.21,92.36,831.0,0
75815,48.26,8.67,40.58,263.0,0
55988,62.08,17.74,82.95,440.0,0
49293,69.32,3.56,70.28,509.0,0
99839,70.24,11.75,85.56,0.0,1
14268,65.43,6.11,78.33,820.0,0
23184,59.99,8.97,65.61,857.0,0
76922,43.83,11.17,52.45,273.0,0
5506,51.56,7.25,48.17,906.0,0
70947,69.71,13.11,44.08,205.0,0
58755,44.27,8.56,95.1,378.0,0
73890,73.2,8.71,82.39,207.0,0
80688,50.55,18.36,59.13,177.0,0
67594,70.55,16.85,69.17,198.0,0
32643,45.88,8.4,100.0,612.0,0
69890,53.55,11.07,68.45,187.0,0
86707,65.0,8.52,57.03,19.0,0
10544,29.29,10.86,85.16,871.0,0
97359,82.7,13.07,33.34,0.0,1
4328,79.6,5.17,87.39,903.0,0
86580,61.03,7.66,78.33,167.0,0
27968,27.35,18.28,55.69,622.0,0
7449,58.51,9.72,65.53,897.0,0
45702,51.06,15.28,73.28,488.0,0
60946,79.48,12.04,93.24,285.0,0
42168,75.01,11.29,65.0,512.0,0
27354,58.95,12.26,91.4,683.0,0
4820,53.63,14.36,56.94,970.0,0
43071,62.23,2.99,71.64,597.0,0
70760,81.89,7.68,62.48,203.0,0
88135,56.93,8.07,86.66,164.0,0
69848,74.85,4.1,35.11,208.0,0
27331,50.97,3.64,100.0,687.0,0
37233,67.03,7.35,76.03,579.0,0
55825,62.67,11.26,77.33,412.0,0
63783,56.84,10.63,46.86,348.0,0
43970,69.42,6.42,48.39,551.0,0
6057,63.17,13.18,57.43,861.0,0
25522,72.89,5.98,76.13,718.0,0
63483,73.31,13.01,66.04,344.0,0
61715,56.74,17.52,67.14,223.0,0
26033,63.82,5.72,60.7,691.0,0
84781,55.82,14.65,94.21,45.0,0
89149,53.96,7.48,86.24,3.0,1
72799,43.32,-2.13,60.57,300.0,0
22953,60.41,14.86,56.13,688.0,0
23875,57.25,14.43,68.57,693.0,0
36951,56.98,14.01,100.0,553.0,0
36611,35.38,8.33,61.07,530.0,0
99274,55.62,6.15,71.89,0.0,1
16926,80.09,7.17,92.63,821.0,0
23188,72.59,4.72,85.62,699.0,0
1806,70.47,15.74,61.41,926.0,0
31186,38.23,13.52,100.0,571.0,0
63957,63.88,15.93,82.29,325.0,0
78505,67.53,15.37,66.46,181.0,0
10933,81.39,18.11,43.72,805.0,0
88176,93.84,-1.11,49.75,150.0,0
26392,62.59,13.15,72.99,670.0,0
21558,54.67,12.34,100.0,698.0,0
6611,71.43,6.81,79.31,783.0,0
21740,75.01,3.27,82.11,738.0,0
40351,60.21,5.69,89.1,601.0,0
87479,72.82,7.47,49.36,31.0,0
46348,73.38,-1.14,71.99,484.0,0
31188,80.79,8.1,100.0,646.0,0
29584,35.93,4.02,74.96,613.0,0
83164,55.36,8.17,40.44,93.0,0
62989,56.17,6.19,72.25,324.0,0
39051,66.55,6.39,48.65,571.0,0
36305,47.77,15.6,100.0,588.0,0
35324,48.01,1.62,50.91,654.0,0
99075,89.92,8.46,73.05,0.0,1
40214,56.91,10.93,31.18,544.0,0
67918,38.54,16.58,90.13,329.0,0
43772,64.95,16.7,72.32,489.0,0
41987,62.5,5.67,48.51,548.0,0
64277,60.87,11.58,45.83,280.0,0
61235,71.51,16.43,100.0,282.0,0
97204,69.36,12.07,68.54,0.0,1
53313,60.22,12.16,100.0,356.0,0
29198,65.34,8.24,74.89,619.0,0
9713,53.9,8.25,79.88,885.0,0
49264,64.25,13.93,85.39,450.0,0
72807,64.7,8.13,38.86,222.0,0
58369,59.6,14.54,40.73,280.0,0
67242,62.26,7.48,77.06,205.0,0
70462,60.99,11.09,57.66,348.0,0
92404,85.5,18.58,64.18,140.0,0
34966,65.15,10.26,100.0,670.0,0
91698,75.03,14.01,78.55,29.0,0
91313,77.95,15.46,53.28,11.0,0
16025,45.65,3.71,68.86,906.0,0
55004,69.65,-8.07,42.1,408.0,0
32844,48.01,4.99,74.46,717.0,0
54792,85.72,16.22,100.0,380.0,0
60644,62.45,13.1,51.46,336.0,0
1900,64.26,14.24,80.13,966.0,0
36824,64.92,10.63,70.17,545.0,0
79244,74.03,0.03,58.71,67.0,0
11455,69.2,12.45,60.42,831.0,0
50546,63.49,4.8,88.22,489.0,0
3346,38.73,15.68,72.92,958.0,0
21403,52.07,8.26,85.96,802.0,0
42936,96.85,19.26,50.5,516.0,0
497,47.43,3.68,55.43,1017.0,0
32054,9.27,17.62,85.77,699.0,0
81728,45.94,6.75,67.72,46.0,0
28707,49.99,16.81,64.26,702.0,0
62284,64.99,8.09,78.75,302.0,0
10847,48.62,9.65,49.74,811.0,0
12873,31.87,7.85,79.29,842.0,0
6414,48.0,15.68,79.25,870.0,0
32673,56.69,3.44,84.85,688.0,0
91742,67.15,9.39,57.9,56.0,0
58180,63.9,2.16,70.53,445.0,0
42862,56.58,14.62,89.17,474.0,0
3592,81.68,16.79,86.42,1063.0,0
72017,59.81,10.18,93.1,213.0,0
67648,52.12,12.2,54.51,312.0,0
34320,67.07,8.19,85.72,618.0,0
75555,43.37,13.07,90.22,236.0,0
93028,67.96,18.08,31.99,74.0,0
37269,75.11,11.45,39.44,612.0,0
95894,56.71,5.84,81.81,0.0,1
22860,75.48,-0.93,87.56,697.0,0
14020,42.64,11.18,76.12,903.0,0
77105,67.34,14.28,50.65,129.0,0
99445,57.91,16.03,99.75,0.0,1
92589,53.79,8.9,96.44,32.0,0
67191,29.76,-1.61,61.14,340.0,0
1191,54.64,9.82,74.72,829.0,0
16637,55.11,7.89,97.89,779.0,0
98128,51.94,6.32,60.02,0.0,1
47676,74.82,11.29,75.74,461.0,0
3118,68.41,10.01,82.94,854.0,0
75104,64.09,22.38,68.6,168.0,0
58119,87.65,4.0,41.77,311.0,0
21154,73.97,14.51,55.56,781.0,0
41815,63.42,20.97,60.87,488.0,0
85084,72.66,7.27,89.13,128.0,0
32071,34.97,6.91,92.28,692.0,0
22895,65.56,15.44,95.83,645.0,0
76673,57.62,9.65,18.21,223.0,0
43710,39.85,13.01,60.52,562.0,0
22218,45.15,7.48,79.02,708.0,0
46967,67.04,7.79,55.35,360.0,0
41892,68.06,15.66,80.54,535.0,0
27373,64.73,8.06,73.11,745.0,0
61439,42.45,12.31,73.42,381.0,0
48485,37.84,3.62,53.82,439.0,0
44129,62.81,11.9,86.15,512.0,0
97146,70.13,1.81,59.05,0.0,1
18521,27.37,11.68,22.86,827.0,0
2825,58.86,7.66,79.53,880.0,0
87780,60.35,3.33,82.73,139.0,0
36968,51.63,11.81,40.45,644.0,0
76154,63.09,-0.37,70.61,171.0,0
90833,60.09,4.81,83.56,111.0,0
56244,61.94,10.75,59.15,331.0,0
45357,39.58,17.49,89.9,462.0,0
14462,56.07,13.06,65.75,799.0,0
18889,56.75,5.83,67.06,809.0,0
38442,86.85,12.78,73.43,570.0,0
